trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
80,False,"{'a': 0.5, 'e': 0.9547018552970803}",20,0,-156.7483295388425,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
81,False,"{'a': 0.5, 'e': 0.9538770389851439}",20,0,-79.44973715960339,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.9530454500689957}",25,0,-101.69284482471387,"{0: 15, 1: 5, 2: 3, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.9522070468828431}",20,0,-161.09775422483128,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
84,False,"{'a': 0.5, 'e': 0.9513617877622643}",20,0,-181.95875957946507,"{0: 8, 1: 6, 2: 2, 3: 1, 4: 3}",0
85,False,"{'a': 0.5, 'e': 0.9505096310498408}",20,0,-147.8935499046937,"{0: 8, 1: 3, 2: 5, 3: 3, 4: 1}",0
86,False,"{'a': 0.5, 'e': 0.9496505351008906}",25,2,-117.05933592065556,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.9487844582893072}",25,0,-166.6122997514358,"{0: 17, 1: 0, 2: 3, 3: 2, 4: 3}",0
88,False,"{'a': 0.5, 'e': 0.947911359013501}",25,0,-71.06885872479386,"{0: 15, 1: 2, 2: 8, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.9470311957024462}",20,9,-23.09169891384555,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.9461439268218307}",20,0,-121.85100897436921,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.9452495108803148}",25,5,-66.63169147181527,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.9443479064358932}",20,7,-10.829644277525778,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.9434390721023634}",20,0,-133.08519949373547,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.9425229665559027}",20,0,-99.13068705031726,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
95,False,"{'a': 0.5, 'e': 0.9415995485417504}",30,0,-130.69382894193316,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
96,False,"{'a': 0.5, 'e': 0.9406687768809987}",25,0,-142.12968226919938,"{0: 15, 1: 1, 2: 5, 3: 3, 4: 1}",0
97,False,"{'a': 0.5, 'e': 0.9397306104774903}",30,0,-182.09913562921713,"{0: 17, 1: 6, 2: 3, 3: 1, 4: 3}",0
98,False,"{'a': 0.5, 'e': 0.9387850083248245}",25,0,-82.41325235186369,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.9378319295134719}",30,0,-88.89497919902993,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
100,False,"{'a': 0.5, 'e': 0.9368713332379965}",20,0,-35.63783539813086,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.9359031788043871}",20,0,-64.62008497669332,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
102,False,"{'a': 0.5, 'e': 0.934927425637497}",25,0,-252.74437787145183,"{0: 10, 1: 5, 2: 4, 3: 2, 4: 4}",0
103,False,"{'a': 0.5, 'e': 0.9339440332885924}",20,0,-84.57484734091221,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
104,False,"{'a': 0.5, 'e': 0.9329529614430098}",25,0,-85.15852549486387,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.9319541699279211}",20,0,-168.74886278480417,"{0: 7, 1: 0, 2: 10, 3: 2, 4: 1}",0
106,False,"{'a': 0.5, 'e': 0.9309476187202091}",20,0,-79.01440603003968,"{0: 11, 1: 3, 2: 4, 3: 2, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.9299332679544502}",30,0,-127.649985366437,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
108,False,"{'a': 0.5, 'e': 0.9289110779310052}",25,16,0.604348837851914,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.9278810091242196}",30,0,-288.792766587098,"{0: 13, 1: 3, 2: 9, 3: 0, 4: 5}",0
110,False,"{'a': 0.5, 'e': 0.9268430221907306}",30,0,-61.7052541288035,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
111,False,"{'a': 0.5, 'e': 0.9257970779778824}",30,0,-89.19727890259736,"{0: 17, 1: 4, 2: 9, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.9247431375322491}",25,0,-108.57317616319432,"{0: 17, 1: 1, 2: 4, 3: 2, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.9236811621082631}",20,0,-38.620882355350844,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
